SN_Name,SN_Time,SN_RA,SN_Dec,GRB_Trigger,GRB_Time,GRB_RA,GRB_Dec,Angular_Sep_deg,GRB_Fluence_J_per_m2,Trigger_ID,Fluence_Total_J_per_m2,Bruno_Class,Time_Delay_s,Entropy_Candidate_Relaxed,Name,Claimed_Type,Redshift
GRB 940206A,1994-02-06,144.2,-59.96,2798.0,1994-02-06 00:08:37.786,144.2,-59.96,0.0,,2798.0,2.312932e-05,Above Threshold,517.786,True,,,
GRB 950425,1995-04-25,163.16,-35.25,3523.0,1995-04-25 00:15:19.218,163.16,-35.25,0.0,,3523.0,4.091193e-05,Above Threshold,919.218,True,,,
GRB 951203,1995-12-03,279.84,-19.25,3930.0,1995-12-03 01:06:27.634,279.84,-19.25,0.0,,3930.0,1.182579e-05,Above Threshold,3987.634,True,,,
GRB 950208,1995-02-08,336.9599999999999,54.19,3408.0,1995-02-08 02:10:24.049,336.96,54.19,0.0,,3408.0,1.069039e-05,Above Threshold,7824.049,True,,,
GRB 920406,1992-04-06,289.91,-57.69,1541.0,1992-04-06 02:44:13.547,289.91,-57.69,0.0,,1541.0,1.384477e-05,Above Threshold,9853.547,True,,,
GRB 920525B,1992-05-25,299.62999999999994,-42.05,1625.0,1992-05-25 03:27:01.738,299.63,-42.05,0.0,,1625.0,1.160778e-05,Above Threshold,12421.738,True,,,
GRB 940703A,1994-07-03,131.5,27.39,3057.0,1994-07-03 04:40:46.514,131.5,27.39,0.0,,3057.0,7.80729e-05,Above Threshold,16846.514,True,,,
GRB 940302,1994-03-02,12.489999999999998,-23.97,2856.0,1994-03-02 05:08:31.514,12.49,-23.97,0.0,,2856.0,2.50027e-05,Above Threshold,18511.514,True,,,
GRB 910503,1991-05-03,87.44999999999999,38.74,143.0,1991-05-03 07:04:12.651,87.45,38.74,0.0,,143.0,2.9217370000000004e-05,Above Threshold,25452.651,True,,,
GRB 920622B,1992-06-22,162.1,47.17,1663.0,1992-06-22 07:05:04.490,162.1,47.17,0.0,,1663.0,1.697663e-05,Above Threshold,25504.49,True,,,
GRB 940817,1994-08-17,280.8399999999999,3.47,3128.0,1994-08-17 08:40:15.793,280.84,3.47,0.0,,3128.0,1.074209e-05,Above Threshold,31215.793,True,,,
GRB 941017A,1994-10-17,301.55,9.81,3245.0,1994-10-17 10:19:33.938,301.55,9.81,0.0,,3245.0,2.6176900000000003e-05,Above Threshold,37173.938,True,,,
GRB 960529,1996-05-29,14.4,48.89,5477.0,1996-05-29 12:07:45.098,14.4,48.89,0.0,,5477.0,1.1115547e-05,Above Threshold,43665.098,True,,,
GRB 960114,1996-01-14,216.19,-29.73,4368.0,1996-01-14 12:15:04.778,216.19,-29.73,0.0,,4368.0,2.20343e-05,Above Threshold,44104.778,True,,,
GRB 941008,1994-10-08,305.61999999999995,-52.18,3227.0,1994-10-08 13:32:52.785,305.62,-52.18,0.0,,3227.0,1.0198440000000002e-05,Above Threshold,48772.785,True,,,
GRB 930506B,1993-05-06,64.44999999999999,-5.97,2329.0,1993-05-06 14:52:51.458,64.45,-5.97,0.0,,2329.0,3.811777e-05,Above Threshold,53571.458,True,,,
GRB 930201C,1993-02-01,333.53,41.15,2156.0,1993-02-01 16:41:55.586,333.53,41.15,0.0,,2156.0,1.6983409999999998e-05,Above Threshold,60115.586,True,,,
GRB 910814C,1991-08-14,346.35,30.43,678.0,1991-08-14 19:14:33.003,346.35,30.43,0.0,,678.0,2.507438e-05,Above Threshold,69273.003,True,,,
GRB 910601,1991-06-01,310.11999999999995,32.34,249.0,1991-06-01 19:22:14.507,310.12,32.34,0.0,,249.0,1.5026690000000002e-05,Above Threshold,69734.507,True,,,
GRB 940301,1994-03-01,103.51,64.35,2855.0,1994-03-01 20:10:37.082,103.51,64.35,0.0,,2855.0,1.120998e-05,Above Threshold,72637.082,True,,,
GRB 930916B,1993-09-16,280.7099999999999,65.39,2533.0,1993-09-16 20:19:23.418,280.71,65.39,0.0,,2533.0,2.022722e-05,Above Threshold,73163.418,True,,,
GRB 940526C,1994-05-26,131.84999999999997,34.2,2994.0,1994-05-26 20:20:05.786,131.85,34.2,0.0,,2994.0,1.070622e-05,Above Threshold,73205.786,True,,,
GRB 940323,1994-03-23,213.89,8.370000000000001,2891.0,1994-03-23 22:04:38.426,213.89,8.37,0.0,,2891.0,1.018543e-05,Above Threshold,79478.426,True,,,
GRB 940217B,1994-02-17,29.07,4.55,2831.0,1994-02-17 23:02:42.074,29.07,4.55,0.0,,2831.0,6.61691e-05,Above Threshold,82962.074,True,,,
