figure,image_file,script_file,matched_equation
Figure_46,Figure_46.png,Entropy Correlation Test,Entropy Collapse Coherence Map
Figure_47,Figure_47.png,Entropy Correlation Test 1.1,Entropy Collapse Coherence Map
Figure_48,Figure_48.png,Entropy Correlation Test 1.2,Entropy Collapse Coherence Map
Figure_55,Figure_55.png,Entropy Correlation Test 1.4,Entropy Collapse Coherence Map
Figure_57,Figure_57.png,Entropy Correlation Test 1.4,Entropy Collapse Coherence Map
Figure_43,Figure_43.png,Entropy Evaporation Comparison,2D Surface Entropy Encoding Curve
Figure_45,Figure_45.png,Entropy Evaporation Comparison 1.2,2D Surface Entropy Encoding Curve
Figure_42,Figure_42.png,Entropy Horizon Function Test,Entropy Collapse Coherence Map
Figure_52,Figure_52.png,Entropy Hubble Test,Entropy Gradient Transition
Figure_40,Figure_40.png,Entropy Predictive Model,Entropy Collapse Coherence Map
Figure_41,Figure_41.png,Entropy Predictive Model 1.1,Entropy Collapse Coherence Map
Figure_36,Figure_36.png,Entropy RData Model,Entropy Gradient Transition
Figure_37,Figure_37.png,Entropy RData Model Test 1,Entropy Gradient Transition
Figure_38,Figure_38.png,Entropy RData Model Test 1.1,Entropy Gradient Transition
Figure_53,Figure_53.png,Entropy Saturation Function,Entropy Collapse Coherence Map
Figure_51,Figure_51.png,Entropy Saturation Horizon,Entropy Gradient Transition
Figure_35,Figure_35.png,Entropy Temp Testing Mod 4.0.py,Entropy Gradient Transition
Figure_39,Figure_39.png,Saturated Bh Entropy Model,Field Symmetry Discretization Curve
Figure_49,Figure_49.png,Saturation Model Vs BH Entropy,Entropy Gradient Transition
Figure_59,Figure_59.png,Temperature from Entropy 2.0,Entropy Reassembly Function
Figure_59,Figure_59.png,Unified Abstract Summary,Kelvin Collapse Limit
Figure_59,Figure_59.png,Figure 59 Caption,UNKNOWN
Figure_60,Figure_60.png,Temperature from Entropy 2.1,Entropy Reassembly Function
Figure_60,Figure_60.png,Temperature from Entropy 3,Entropy Reassembly Function
Figure_60,Figure_60.png,Unified Abstract Summary,Kelvin Collapse Limit
Figure_60,Figure_60.png,Figure 60 Caption,UNKNOWN
Figure_64,Figure_64.png,Chajar Constant,Entropy Collapse Coherence Map
Figure_61,Figure_61.png,Entropy Collapse Test 1.5,Entropy Collapse Coherence Map
Figure_62,Figure_62.png,Entropy Collapse Test 1.6,Entropy Collapse Coherence Map
Figure_63,Figure_63.png,Entropy Collapse Test 1.7,Entropy Collapse Coherence Map
Figure_65,Figure_65.png,Entropy Collapse Test 2.2,Entropy Collapse Coherence Map
Figure_58,Figure_58.png,Temperature from Entropy 1.1,UNKNOWN
