event_id,event_time,mjd,ra_deg,dec_deg,energy_GeV,reconstruction,drlogl
1,2010-06-04 07:43:59.314656,55351.32221429,47.08333393604692,6.519163067368888,44729.695,Shower,-0.023428092
2,2010-06-04 11:10:59.466720,55351.46596605,194.31496928872986,-9.077385245160306,101722.3,Shower,-0.033502504
3,2010-09-12 01:41:52.642752,55451.07074818,127.88280477449143,-34.66789428462326,67136.5,Track,-0.93658584
4,2010-10-08 09:26:03.702624,55477.39309841,166.1273938247968,-47.695982809477634,144204.58,Shower,0.030817991
7,2011-01-10 06:12:17.529408,55571.25853622,4.946102857174852,13.560849892910003,29600.297,Shower,-0.018292092
8,2011-02-16 19:40:59.365920,55608.82013155,181.27476499833966,-21.25531899359957,19719.76,Track,-2.3884077
9,2011-05-04 15:54:40.717728,55685.66297127,137.09625259909262,38.82022828791741,55321.05,Shower,-0.01065745
10,2011-05-14 06:33:11.182176,55695.27304609,12.286205582985135,-6.114559523829417,83561.04,Shower,-0.1047837
11,2011-06-02 14:10:56.739072,55714.59093448,148.4321251729308,8.104759021162591,79761.805,Shower,-0.034922417
12,2011-06-27 10:35:13.047072,55739.44112323,294.05084422527483,-50.40224009279701,78448.91,Shower,-0.07454255
