name,ra_deg,dec_deg,datetime,claimedtype,redshift
AT1991BM,273.8100166666667,47.53098611111111,1991-08-06,Candidate,0.040188
AT1992BV,48.7728,-54.82122222222223,1992-11-19,Candidate,0.0275
AT1992BW,1.5106375,14.41408888888889,1992-08-08,Candidate,0.017773
AT1999GY,244.991875,-1.1747472222222224,1999-03-21,Candidate,
AT1999GZ,179.38309999999998,0.816625,1999-03-20,Candidate,0.06227
AT1999HA,209.1015583333333,-0.2485555555555555,1999-03-21,Candidate,0.02975
AT1999HB,177.83925416666668,-0.9718027777777778,1999-03-22,Candidate,0.083
GRB 910421,270.68,24.76,1991-04-21,LGRB,
GRB 910423,193.47,-8.38,1991-04-23,LGRB,
GRB 910424,201.31,-45.41,1991-04-24,LGRB,
